Sample,Genotype,Rep,Treatment ,Trt_Gen,Ant,Neo,Vio,Lut,Zea,B-Car,VAZ,Total Carotenoid,DEPS,Chl A,Chl B,Total Chlorophyll,Chla/b,Fv/Fm,Y(II),Y(NPQ),Y(NO)
2.1.1,npq1-2,1,+UV-B,NPQ2+UV-B,5.905935003,15.37610223,69.47149541,99.66626573,0,9.612643381,75.37743041,200.0324418,0.078351504,558.5762423,602.0168296,1160.593072,0.927841573,0.68175,0.222375,0.0425,0.74625
2.1.2,npq1-2,2,+UV-B,NPQ2+UV-B,7.393355053,13.98120817,65.46079901,98.23881381,4.146485034,10.98469791,77.0006391,200.205359,0.149866809,603.3644773,563.1228499,1166.487327,1.071461542,0.794375,0.361125,0,0.6895
2.1.3,npq1-2,3,+UV-B,NPQ2+UV-B,11.43537245,8.917911624,81.04694066,88.07081838,1.397647834,13.82443959,93.87996094,204.6931305,0.136696055,705.4378902,666.1237522,1371.561642,1.059019271,0.770875,0.3105,0.009375,0.710625
2.1.4,npq1-2,4,+UV-B,NPQ2+UV-B,9.247172051,9.308130916,72.42663969,76.16635703,1.000362769,9.066474656,82.67417451,177.2151371,0.123950857,534.9290962,571.8428124,1106.771909,0.935447792,0.79,0.346,0,0.695
2.1.5,npq1-2,5,+UV-B,NPQ2+UV-B,4.17465227,12.13478773,48.60042658,75.79872309,2.39258727,13.38657161,55.16766612,156.4877486,0.11904146,366.99586,399.2661357,766.2619956,0.919176026,0.767375,0.282,0.039125,0.681875
2.2.1,npq1-2,1,-UV-B,NPQ2-UV-B,6.123283958,7.681558472,46.41589892,66.24617875,0.535322657,11.53599082,53.07450554,138.5382336,0.125457723,408.1831997,391.0890035,799.2722031,1.043709222,0.8015,0.36575,0,0.68225
2.2.2,npq1-2,2,-UV-B,NPQ2-UV-B,6.12222181,9.658005104,56.37248381,90.21825094,0,17.53605481,62.49470562,179.9070165,0.097963847,518.8393855,530.301494,1049.140879,0.978385676,0.805,0.373875,0,0.67575
2.2.3,npq1-2,3,-UV-B,NPQ2-UV-B,11.70988123,7.284300325,50.34125876,80.48306739,4.466256059,14.69997654,66.51739605,168.9847403,0.243186568,510.1027011,593.3611193,1103.46382,0.859683394,0.8055,0.36525,0.002,0.65925
2.2.4,npq1-2,4,-UV-B,NPQ2-UV-B,6.841759748,5.567826101,34.93945658,40.42858033,2.416993708,5.594928338,44.19821004,95.78954481,0.209482543,342.3957939,371.0503358,713.4461297,0.922774516,0.76,0.367,0,0.789
2.2.5,npq1-2,5,-UV-B,NPQ2-UV-B,3.226092006,6.478170651,25.34957548,46.33599144,0.591743143,6.022357984,29.16741063,88.0039307,0.130893866,221.4676063,255.7963805,477.2639868,0.865796482,0.784875,0.36225,0.00875,0.641
3.1.1,npq4-1,1,+UV-B,NPQ4+UV-B,9.695259112,13.77248253,47.96610568,86.23157967,2.779978783,6.106075708,60.44134358,166.5514815,0.206402392,584.4267098,634.6798064,1219.106516,0.92082134,0.76225,0.26275,0,0.933375
3.1.2,npq4-1,2,+UV-B,NPQ4+UV-B,4.223003202,16.33054634,67.40067135,120.3304719,2.972946971,14.10327428,74.59662152,225.3609141,0.096464827,623.478874,596.5576428,1220.036517,1.045127628,0.77225,0.3135,0.016125,0.7015
3.1.3,npq4-1,3,+UV-B,NPQ4+UV-B,8.246965861,8.866898892,65.91681745,93.81098213,0,6.315785064,74.16378331,183.1574494,0.111199368,648.6273085,658.068422,1306.69573,0.985653295,0.804125,0.378625,0,0.684
3.1.4,npq4-1,4,+UV-B,NPQ4+UV-B,7.293955747,10.22737017,70.96673868,91.04968181,0,4.817849717,78.26069443,184.3555961,0.093200754,675.816186,740.5224634,1416.338649,0.912620777,0.794,0.343,0,0.673
3.1.5,npq4-1,5,+UV-B,NPQ4+UV-B,4.976485267,12.5233094,50.42832878,80.82611313,0.139168826,15.4887487,55.54398287,164.3821541,0.092100959,437.7838154,464.1304228,901.9142382,0.943234474,0.74675,0.268625,0.02425,0.736125
3.2.1,npq4-1,1,-UV-B,NPQ4-UV-B,6.074440342,10.86625428,40.82670906,86.52604482,1.116670606,5.677146283,48.01782001,151.0872654,0.149759213,507.7747143,484.5478069,992.3225213,1.047935223,0.8,0.369625,0,0.853
3.2.2,npq4-1,2,-UV-B,NPQ4-UV-B,5.459540567,9.733261686,55.33717966,87.74462719,4.606284326,10.61047957,65.40300455,173.491373,0.153904625,461.4065682,469.8021166,931.2086848,0.982129607,0.8005,0.374,0,0.668625
3.2.3,npq4-1,3,-UV-B,NPQ4-UV-B,8.491175829,6.748949425,61.33243254,80.3383582,1.064128747,3.466403595,70.88773712,161.4414483,0.134794888,689.6500476,785.6554796,1475.305527,0.877802123,0.802375,0.400375,0,0.6525
3.2.4,npq4-1,4,-UV-B,NPQ4-UV-B,4.68564798,6.828281014,42.63475405,57.76163912,0,1.941813959,47.32040203,113.8521361,0.099019615,398.0906975,498.275832,896.3665294,0.798936396,0.796,0.359,0,0.659
3.2.5,npq4-1,5,-UV-B,NPQ4-UV-B,3.539450078,5.171527993,23.30730751,49.59553028,8.241230887,10.67857966,35.08798848,100.5336264,0.335746832,234.3394129,234.606316,468.945729,0.998862336,0.773625,0.34275,0.003125,0.71325
4.1.1,lut1,1,+UV-B,Lut1+UV-B,4.524042927,9.585965873,49.83732561,87.54578921,4.888713784,4.146626292,59.25008232,160.5284637,0.158864871,513.8852343,534.327008,1048.212242,0.961742953,0.698875,0.191625,0.1555,0.652875
4.1.2,lut1,2,+UV-B,Lut1+UV-B,6.890154907,19.57665437,81.80310608,137.7128155,5.967148183,17.30133086,94.66040917,269.2512099,0.13582556,677.3744066,654.7171974,1332.091604,1.034606101,0.79875,0.403375,0.055375,0.54275
4.1.3,lut1,3,+UV-B,Lut1+UV-B,12.46137543,8.816529624,64.07042826,98.24383888,1.160686704,14.27053632,77.69249039,199.0233952,0.175333061,832.2492784,823.9190103,1656.168289,1.010110542,0.8075,0.406875,0.063,0.538
4.1.4,lut1,4,+UV-B,Lut1+UV-B,8.210705265,10.26877581,62.6151444,98.42570605,0,9.057423969,70.82584967,188.5777555,0.115928087,637.1272317,632.5787395,1269.705971,1.007190397,0.802,0.328,0.039,0.633
4.1.5,lut1,5,+UV-B,Lut1+UV-B,5.55737022,9.274714009,37.5706668,71.62957616,0.982264698,12.73523285,44.11030172,137.7498247,0.148256409,489.7641667,433.8180607,923.5822274,1.128962141,0.70525,0.27375,0.039375,0.719125
