Sample,Trt_day,Treatment ,0,D-Toc,G-Toc,A-Toc,Total Tocopherol,Ant,Neo,Vio,Lut,Zea,B-Car,Total B-Car,VAZ,Total carotenoid ,DEPS,Chl A,Chl B,Total chlorophyll,Chla/b
1a,2,+UV-B,1,1.771184188,2.313692498,8.075435758,12.16031244,15.90045777,11.54180415,56.68359836,104.6941049,1.686944129,8.531267916,13.06898964,74.27100026,203.5758989,0.236800391,437.6522097,443.8742264,881.5264361,0.985982478
1b,2,+UV-B,11,2.076175159,2.430211839,11.39291465,15.89930165,15.24363206,10.28081788,60.38251366,106.2201311,3.781346997,0,0,79.40749272,195.9084417,0.239586699,502.3135272,475.4403708,977.753898,1.056522664
1c,2,+UV-B,21,2.687202409,2.03555601,6.353851463,11.07660988,16.571225,12.45121776,43.98047889,108.9209849,0,13.55624471,20.88965132,60.55170389,202.8135579,0.273670664,442.1965519,468.5785138,910.7750656,0.943697884
2a,2,-UV-B,2,1.14449353,1.763503269,6.255976553,9.163973352,13.70141826,12.50010319,53.57929027,114.5318498,1.654733126,4.257470648,7.050189012,68.93544165,203.0175837,0.22276134,486.1341766,511.6038726,997.7380492,0.950215983
2b ,2,-UV-B,12,1.262240445,1.580996142,12.72894728,15.57218386,11.40970261,4.855018927,58.19759958,104.6545136,0,21.03298393,32.4001527,69.60730218,211.5169874,0.163915311,430.190361,559.4593857,989.6497467,0.768939394
2c,2,-UV-B,22,0.763720109,1.10603686,4.183197042,6.052954011,9.765595433,17.61301417,63.38745852,134.6223662,8.059093413,2.171661442,2.861143307,81.21214737,236.3086711,0.219483038,490.5230397,535.0368555,1025.559895,0.916802337
3a,4,+UV-B,3,1.176454071,1.121015968,5.948667498,8.246137537,13.57898127,23.03764709,59.38493984,122.0529932,0,1.315318513,2.261124291,72.96392111,220.3156857,0.186105421,434.2834538,408.2622383,842.545692,1.063736523
3b,4,+UV-B,13,1.754514219,1.380041227,5.458463579,8.593019024,16.50200406,23.12714194,83.94885684,139.381653,0.986816365,0,0,101.4376773,263.9464722,0.172409512,616.8240748,601.6335738,1218.457649,1.025248759
3c,4,+UV-B,23,1.582195858,1.887886416,2.990568208,6.460650482,15.18345428,24.08063625,78.03079376,145.2079477,0,4.344414023,6.038893855,93.21424804,268.5417258,0.162887698,568.2920956,593.2303895,1161.522485,0.957961874
4a,4,-UV-B,4,0.658278689,0.63669105,3.717513372,5.01248311,6.106862857,11.98599737,34.3174776,59.66640413,1.143056243,3.741528652,3.741528652,41.5673967,116.9613268,0.174413595,259.9148537,278.2083276,538.1231813,0.934245412
4b,4,-UV-B,14,1.112579728,1.533627077,6.159861067,8.806067872,7.682898016,14.14087079,53.11988421,105.2288659,0,2.225167935,3.235259319,60.80278223,183.4077783,0.126357672,491.8748327,499.3217492,991.196582,0.985085936
4c,4,-UV-B,24,0.7441659,0.736371555,3.851731013,5.332268469,4.801857184,6.496313197,23.39441163,37.86269815,2.270122289,1.910857052,2.552229892,30.4663911,77.37763234,0.232123964,210.085732,218.3805165,428.4662486,0.962016829
5a,6,+UV-B,5,0,1.60444008,8.902614316,10.5070544,11.95005841,18.02544961,54.72088855,93.69255813,1.264775136,5.371574402,9.425468041,67.9357221,189.0791979,0.19451966,353.6429123,415.0609344,768.7038467,0.852026493
5b,6,+UV-B,15,1.399970585,1.047614725,13.80773711,16.25532242,11.58342098,29.47622177,82.43078179,155.7211379,3.652772144,10.80350082,15.58379799,97.66697491,298.4481326,0.156001485,590.2120196,616.9530739,1207.165093,0.956656259
5c,6,+UV-B,25,0.824063587,0.850175132,8.247615755,9.921854474,12.41210176,23.850605,65.50512065,126.4732637,0,1.050503404,1.408996874,77.91722241,229.650088,0.159298566,496.0703541,502.848899,998.9192531,0.986519718
6a,6,-UV-B,6,0.535358014,0.877320403,3.048637494,4.46131591,4.195327678,10.89782261,16.619846,56.89163632,0,38.24994942,73.27524677,20.81517368,161.8798794,0.201551414,182.6266721,195.6213364,378.2480085,0.933572357
6b,6,-UV-B,16,1.604655165,0.956700315,8.026408013,10.58776349,9.201501232,15.14719479,44.11787912,89.23761394,0,0,0,53.31938035,157.7041891,0.172573296,347.3554871,349.3514203,696.7069075,0.994286747
6c,6,-UV-B,26,0.038308171,0.313397235,2.935819814,3.28752522,4.293232398,10.47416787,26.61541844,63.58093233,0,2.107352109,2.107352109,30.90865084,107.0711031,0.138900673,262.7374558,250.2203648,512.9578206,1.050024269
7a,8,+UV-B,7,1.257535994,0.408675546,21.38456766,23.0507792,10.55766817,22.14740466,54.24081262,108.593804,0,7.899888491,13.54767031,64.79848079,209.0873598,0.162930798,460.5597374,471.5549937,932.1147311,0.976682982
7b,8,+UV-B,17,0.433397891,1.158540637,22.77609066,24.36802919,12.69814465,24.08665905,69.83212007,124.9041176,2.1793068,9.246001813,15.64921059,84.70957152,249.3495588,0.17562893,519.8345096,527.3896928,1047.224202,0.985674382
7c,8,+UV-B,27,1.327088358,0.577605477,8.435124285,10.33981812,12.38339538,22.30156675,48.52830427,101.9811594,0,4.975717665,7.243611156,60.91169965,192.4380369,0.203300769,470.6260758,521.4657033,992.0917791,0.902506287
8a,8,-UV-B,8,0.845504537,0.784923078,4.778054295,6.40848191,6.671135656,7.709475646,30.87643086,64.05509497,0,3.733696028,4.654367491,37.54756651,113.9665046,0.177671585,241.8261843,294.0679445,535.8941288,0.822347994
8b,8,-UV-B,18,0.946649518,1.160042566,4.399248943,6.505941027,6.668550155,14.07532542,49.22665242,101.7228146,0.700053425,4.810882612,6.765258567,56.595256,179.1586546,0.130198255,416.176122,438.6136022,854.7897242,0.948844541
8c,8,-UV-B,28,0.719950095,0.622680913,4.182364858,5.524995865,10.91429838,24.48519199,72.01790445,116.2836246,0,3.434294839,3.434294839,82.93220283,227.1353143,0.13160507,514.8720065,580.5036259,1095.375632,0.886940208
9a,10,+UV-B,9,1.340253917,1.200399602,14.83054769,17.37120121,10.43413358,22.13692616,60.42634711,123.0463253,1.465309125,19.47657742,32.16884439,72.32578981,249.6778856,0.164525583,502.4582104,559.6606459,1062.118856,0.897790856
9b,10,+UV-B,19,0.93168547,0.741343407,11.17810924,12.85113812,11.09293416,27.82395265,76.47939426,145.629015,3.33802162,17.7128762,25.57243906,90.91035005,289.9357567,0.158738315,544.250556,563.2729521,1107.523508,0.966228813
9c,10,+UV-B,29,1.033097195,1.093635339,11.01661411,13.14334665,12.17695663,32.38885621,67.1259504,129.2527523,0,4.860456945,5.449022141,79.30290703,246.3935377,0.15354994,517.9123422,559.4449533,1077.357296,0.925761041
10a,10,-UV-B,10,1.446650515,1.509253502,10.91492595,13.87082997,17.79559458,15.72149985,48.77217028,97.6953508,0,8.276738323,12.33096961,66.56776486,192.3155851,0.267330511,450.3955889,510.0425562,960.4381451,0.88305492
10b,10,-UV-B,20,0.707246042,0.738974092,5.813953488,7.260173622,8.888929628,18.4168855,62.16556755,108.7742375,2.160933395,14.90654479,20.44980871,73.21543057,220.8563622,0.150922598,478.0681896,505.2303531,983.2985427,0.946238061
10c,10,-UV-B,30,0.011170506,0.695789198,3.03470223,3.741661935,7.836932252,9.393827084,28.04881732,72.99413556,0,6.638682124,10.59478962,35.88574957,128.8685018,0.218385636,248.3864529,263.7374195,512.1238723,0.941794507
