S/n,Plant_type,Treatment ,Ant,Neo,Vio,Lut,Zea,B-Car,VAZ,Total Carotenoid,DEPS,Chl A,Chl B,Total Chlorophyll,Chla/b,Chl/Car
1.1,WT,+UV-B,9.966122996,17.49672927,62.57425422,96.42781484,13.65839146,5.313264368,86.19876867,205.4365771,0.274070208,398.2007448,389.9869665,788.1877114,1.021061674,3.83664741
2.1,WT,+UV-B,6.286740664,23.43530818,39.19897635,88.59083738,9.530507123,17.86532877,55.01622414,184.9076985,0.287501515,584.7336345,597.567546,1182.30118,0.978523078,6.394007332
3.1,WT,+UV-B,17.88616098,8.377900408,31.91184687,80.20355174,2.45348304,13.58420764,52.25149088,154.4171507,0.389264376,477.2758941,509.6181138,986.8940079,0.936536362,6.391090649
5.1,WT,+UV-B,8.733513266,15.61477537,33.12242355,96.04220447,8.029387224,8.383898528,49.88532404,169.9262024,0.336028698,299.2927646,290.086851,589.3796155,1.031735026,3.468444579
1.2,WT,-UV-B,7.594176684,10.77454051,49.62030373,73.24785034,0.935281199,19.68076962,58.14976161,161.8529221,0.146680874,391.410631,394.4479125,785.8585435,0.992299918,4.855386812
2.2,WT,-UV-B,0.84638052,5.560483001,6.163247821,30.85312978,0,6.534667615,7.009628341,49.95790874,0.12074542,170.3573409,178.7208807,349.0782216,0.953203343,6.987446641
3.2,WT,-UV-B,11.0801198,15.09528601,35.51802883,63.07336554,4.899490473,9.303405276,51.4976391,138.9696959,0.310297919,585.6159023,583.2805087,1168.896411,1.004003894,8.411160458
5.2,WT,-UV-B,7.18840105,10.92719652,41.75181855,85.90442187,6.592040559,4.649711074,55.53226016,157.0135896,0.248152003,261.1410721,290.0616158,551.202688,0.900295171,3.510541281
1.3,uvr8,+UV-B,11.57045671,25.42299867,67.02383534,119.189971,3.133011459,7.494403095,81.72730351,233.8346763,0.179908886,498.7064905,510.9875091,1009.694,0.975966108,4.317982328
2.3,uvr8,+UV-B,4.987514819,20.983202,9.443538346,83.91794245,7.760886371,10.0788603,22.19193954,137.1719443,0.574460883,389.7440299,459.0756012,848.8196311,0.8489757,6.187997374
3.3,uvr8,+UV-B,8.83918388,15.39833205,31.56290077,49.62348845,0,4.256014514,40.40208465,109.6799197,0.218780391,449.9010302,525.0797216,974.9807518,0.856824234,8.889327732
